team,rank,points,strength
United Arab Emirates,72,460.0,0.30976430976430974
Haiti,73,452.0,0.30437710437710436
Senegal,74,451.0,0.3037037037037037
Israel,75,444.0,0.298989898989899
Zambia,76,441.0,0.296969696969697
Morocco,77,439.0,0.2956228956228956
Bulgaria,78,425.0,0.28619528619528617
Oman,79,420.0,0.2828282828282828
North Macedonia,80,419.0,0.28215488215488216
Jamaica,81,411.0,0.2767676767676768
Belarus,82,397.0,0.2673400673400673
Azerbaijan,83,396.0,0.26666666666666666
Congo DR,84,395.0,0.265993265993266
Congo,85,393.0,0.26464646464646463
Uganda,86,390.0,0.26262626262626265
Benin,87,386.0,0.25993265993265996
Togo,88,383.0,0.2579124579124579
Gabon,89,382.0,0.2572390572390572
Northern Ireland,90,381.0,0.25656565656565655
Saudi Arabia,90,381.0,0.25656565656565655
Botswana,92,375.0,0.25252525252525254
Angola,93,364.0,0.24511784511784512
Palestine,94,358.0,0.24107744107744108
Cuba,95,354.0,0.2383838383838384
Georgia,96,349.0,0.235016835016835
New Zealand,97,347.0,0.23367003367003367
Estonia,98,343.0,0.23097643097643097
Zimbabwe,99,340.0,0.22895622895622897
Qatar,100,339.0,0.22828282828282828
Moldova,101,334.0,0.2249158249158249
Equatorial Guinea,102,333.0,0.22424242424242424
China PR,103,331.0,0.2228956228956229
Iraq,104,329.0,0.22154882154882155
Central African Republic,105,321.0,0.21616161616161617
Lithuania,106,319.0,0.21481481481481482
Ethiopia,107,317.0,0.21346801346801347
Kenya,108,296.0,0.19932659932659932
Latvia,109,293.0,0.19730639730639732
Bahrain,110,289.0,0.19461279461279463
Canada,110,289.0,0.19461279461279463
Niger,112,284.0,0.19124579124579125
Tanzania,113,283.0,0.19057239057239056
Namibia,114,277.0,0.18653198653198652
Kuwait,115,276.0,0.18585858585858586
Rwanda,116,271.0,0.18249158249158248
Liberia,116,271.0,0.18249158249158248
Mozambique,118,269.0,0.18114478114478114
Luxembourg,119,267.0,0.1797979797979798
Sudan,120,254.0,0.17104377104377105
Aruba,120,254.0,0.17104377104377105
Malawi,122,247.0,0.16632996632996633
Vietnam,123,242.0,0.16296296296296298
Kazakhstan,124,241.0,0.1622895622895623
Lebanon,125,233.0,0.1569023569023569
Tajikistan,126,229.0,0.1542087542087542
Guatemala,127,226.0,0.15218855218855218
Burundi,128,221.0,0.14882154882154883
Philippines,129,217.0,0.14612794612794613
Afghanistan,130,215.0,0.1447811447811448
Dominican Republic,131,212.0,0.14276094276094276
Malta,132,204.0,0.13737373737373737
St Vincent and the Grenadines,133,203.0,0.1367003367003367
Chad,134,201.0,0.13535353535353536
Guinea-Bissau,134,201.0,0.13535353535353536
Suriname,136,197.0,0.13265993265993267
St Lucia,137,196.0,0.13198653198653199
Mauritania,137,196.0,0.13198653198653199
Lesotho,139,194.0,0.13063973063973064
Syria,140,190.0,0.12794612794612795
New Caledonia,140,190.0,0.12794612794612795
Cyprus,142,189.0,0.12727272727272726
Turkmenistan,143,183.0,0.12323232323232323
Grenada,144,182.0,0.12255892255892256
Madagascar,144,182.0,0.12255892255892256
Korea DPR,146,175.0,0.11784511784511785
Maldives,147,171.0,0.11515151515151516
The Gambia,148,166.0,0.11178451178451178
Kyrgyz Republic,149,163.0,0.10976430976430976
Thailand,149,163.0,0.10976430976430976
Antigua and Barbuda,151,158.0,0.1063973063973064
Belize,152,152.0,0.10235690235690235
Malaysia,153,149.0,0.10033670033670034
India,154,144.0,0.09696969696969697
Singapore,155,141.0,0.09494949494949495
Guyana,156,137.0,0.09225589225589226
Indonesia,157,135.0,0.09090909090909091
Puerto Rico,158,134.0,0.09023569023569024
Myanmar,159,133.0,0.08956228956228957
St Kitts and Nevis,160,124.0,0.08350168350168351
Tahiti,161,122.0,0.08215488215488216
Liechtenstein,162,118.0,0.07946127946127945
Hong Kong,163,112.0,0.07542087542087542
Nepal,164,102.0,0.06868686868686869
Pakistan,164,102.0,0.06868686868686869
Montserrat,166,99.0,0.06666666666666667
Bangladesh,167,98.0,0.06599326599326599
Laos,168,97.0,0.06531986531986532
Dominica,169,93.0,0.06262626262626263
Barbados,170,92.0,0.061952861952861954
Faroe Islands,171,89.0,0.059932659932659935
Sao Tome and Principe,172,86.0,0.057912457912457915
Eswatini,173,85.0,0.05723905723905724
Comoros,174,84.0,0.05656565656565657
Bermuda,175,83.0,0.05589225589225589
Chinese Taipei,176,78.0,0.052525252525252523
Nicaragua,176,78.0,0.052525252525252523
Guam,178,77.0,0.05185185185185185
Sri Lanka,179,73.0,0.05
Solomon Islands,180,70.0,0.05
Seychelles,181,66.0,0.05
Curacao,182,65.0,0.05
Yemen,183,61.0,0.05
Mauritius,184,57.0,0.05
South Sudan,185,47.0,0.05
Bahamas,186,40.0,0.05
Mongolia,187,35.0,0.05
Fiji,188,34.0,0.05
Samoa,189,32.0,0.05
Vanuatu,190,28.0,0.05
Cambodia,190,28.0,0.05
Brunei Darussalam,192,26.0,0.05
Tonga,192,26.0,0.05
Timor-Leste,192,26.0,0.05
US Virgin Islands,195,23.0,0.05
Papua New Guinea,196,21.0,0.05
Cayman Islands,196,21.0,0.05
British Virgin Islands,198,18.0,0.05
American Samoa,198,18.0,0.05
Andorra,200,16.0,0.05
Eritrea,201,11.0,0.05
Macau,202,8.0,0.05
Somalia,202,8.0,0.05
Djibouti,204,6.0,0.05
Cook Islands,205,5.0,0.05
Anguilla,206,3.0,0.05
San Marino,207,0.0,0.05
Bhutan,207,0.0,0.05
Turks and Caicos Islands,207,0.0,0.05
